,model_a,model_b,sum,diff,total,accA,accB,"corr(A,B)",std_signtest,std(E(A-B)),E(std(A-B)),std(A-B),pvalue,benchmark_id
48,Meta-Llama-3-8B,deepseek-llm-67b-base,617.0,-281.0,3610.0,0.29889196675900276,0.3767313019390582,0.6300236113497686,0.006880743683309818,0.006757680873041412,0.0,0.006757680873041411,1.6583258795322287e-30,nq
49,Meta-Llama-3-8B,deepseek-llm-7b-base,598.0,282.0,3610.0,0.29889196675900276,0.22077562326869807,0.5847170840254525,0.006773971889549853,0.006648033187762601,0.0,0.006648033187762601,1.0112774720053624e-31,nq
50,Meta-Llama-3-8B,deepseek-moe-16b-base,533.0,113.0,3610.0,0.29889196675900276,0.267590027700831,0.6387035824624522,0.006395233451864374,0.0063739779578117625,0.0,0.006373977957811762,1.1237479122438497e-06,nq
51,Meta-Llama-3-8B,falcon-40b,518.0,-122.0,3610.0,0.29889196675900276,0.33268698060941826,0.6704348590957024,0.006304602036975647,0.006279461348972429,0.0,0.00627946134897243,9.28306185194793e-08,nq
52,Meta-Llama-3-8B,falcon-7b,571.0,263.0,3610.0,0.29889196675900276,0.2260387811634349,0.6048902861880647,0.00661928152096871,0.006507276100183977,0.0,0.006507276100183977,5.631499821201465e-29,nq
53,Meta-Llama-3-8B,gemma-2b,778.0,558.0,3610.0,0.29889196675900276,0.1443213296398892,0.43957680086396683,0.007726496222150334,0.007285632343639806,0.0,0.007285632343639807,2.942820129145659e-98,nq
54,Meta-Llama-3-8B,gemma-7b,559.0,185.0,3610.0,0.29889196675900276,0.2476454293628809,0.6165420318422343,0.006549357572042599,0.006493581698738482,0.0,0.006493581698738482,4.0190540222517874e-15,nq
55,Meta-Llama-3-8B,llama2_07B,618.0,274.0,3610.0,0.29889196675900276,0.22299168975069253,0.5704349700311299,0.006886317393161249,0.006769458128048764,0.0,0.006769458128048765,5.552740070702856e-29,nq
56,Meta-Llama-3-8B,llama2_13B,604.0,104.0,3610.0,0.29889196675900276,0.27008310249307477,0.5909181960604797,0.006807870209110531,0.006790964110794335,0.0,0.0067909641107943355,2.6610185851072255e-05,nq
57,Meta-Llama-3-8B,llama2_70B,675.0,-123.0,3610.0,0.29889196675900276,0.3329639889196676,0.5697581420626879,0.007196887012059047,0.007174510643290106,0.0,0.007174510643290107,2.499970915437864e-06,nq
58,Meta-Llama-3-8B,llama_07B,568.0,266.0,3610.0,0.29889196675900276,0.225207756232687,0.606979167053008,0.00660186996554736,0.006486964498487073,0.0,0.006486964498487072,8.615850066867914e-30,nq
59,Meta-Llama-3-8B,llama_13B,550.0,46.0,3610.0,0.29889196675900276,0.28614958448753464,0.6322808609683725,0.0064964207199770495,0.006492958093263598,0.0,0.006492958093263598,0.05491002544941941,nq
60,Meta-Llama-3-8B,llama_33B,559.0,-179.0,3610.0,0.29889196675900276,0.34847645429362883,0.6514838190938922,0.006549357572042599,0.006497155227158044,0.0,0.006497155227158044,3.113834518582263e-14,nq
61,Meta-Llama-3-8B,llama_65B,667.0,-299.0,3610.0,0.29889196675900276,0.3817174515235457,0.6017829724548214,0.007154111673210503,0.007020044155652786,0.0,0.007020044155652785,7.549305972942549e-32,nq
62,Meta-Llama-3-8B,mpt-30b,543.0,135.0,3610.0,0.29889196675900276,0.2614958448753463,0.6304544954866851,0.0064549474779673375,0.006424870360601564,0.0,0.006424870360601564,7.49526517860218e-09,nq
63,Meta-Llama-3-8B,pythia-1.4b-deduped-v0,1047.0,995.0,3610.0,0.29889196675900276,0.02326869806094183,0.13203044362067806,0.008963262984688884,0.007700406770261241,0.0,0.007700406770261242,8.144820877852713e-264,nq
